anime_id,name,genre,type,episodes,rating,members,genre_id
32281,Kimi no Na wa.,Drama,Movie,1,9.37,200630,7
32281,Kimi no Na wa.,Romance,Movie,1,9.37,200630,26
32281,Kimi no Na wa.,School,Movie,1,9.37,200630,28
32281,Kimi no Na wa.,Supernatural,Movie,1,9.37,200630,39
5114,Fullmetal Alchemist: Brotherhood,Action,TV,64,9.26,793665,1
5114,Fullmetal Alchemist: Brotherhood,Adventure,TV,64,9.26,793665,2
5114,Fullmetal Alchemist: Brotherhood,Drama,TV,64,9.26,793665,7
5114,Fullmetal Alchemist: Brotherhood,Fantasy,TV,64,9.26,793665,9
5114,Fullmetal Alchemist: Brotherhood,Magic,TV,64,9.26,793665,17
5114,Fullmetal Alchemist: Brotherhood,Military,TV,64,9.26,793665,20
5114,Fullmetal Alchemist: Brotherhood,Shounen,TV,64,9.26,793665,33
28977,Gintama',Action,TV,51,9.25,114262,1
28977,Gintama',Comedy,TV,51,9.25,114262,4
28977,Gintama',Historical,TV,51,9.25,114262,13
28977,Gintama',Parody,TV,51,9.25,114262,23
28977,Gintama',Samurai,TV,51,9.25,114262,27
28977,Gintama',Sci-Fi,TV,51,9.25,114262,29
28977,Gintama',Shounen,TV,51,9.25,114262,33
9253,Steins'Gate,Sci-Fi,TV,24,9.17,673572,29
9253,Steins'Gate,Thriller,TV,24,9.17,673572,40
9969,Gintama',Action,TV,51,9.16,151266,1
9969,Gintama',Comedy,TV,51,9.16,151266,4
9969,Gintama',Historical,TV,51,9.16,151266,13
9969,Gintama',Parody,TV,51,9.16,151266,23
9969,Gintama',Samurai,TV,51,9.16,151266,27
9969,Gintama',Sci-Fi,TV,51,9.16,151266,29
9969,Gintama',Shounen,TV,51,9.16,151266,33
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,Comedy,TV,10,9.15,93351,4
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,Drama,TV,10,9.15,93351,7
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,School,TV,10,9.15,93351,28
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,Shounen,TV,10,9.15,93351,33
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,Sports,TV,10,9.15,93351,37
11061,Hunter x Hunter (2011),Action,TV,148,9.13,425855,1
11061,Hunter x Hunter (2011),Adventure,TV,148,9.13,425855,2
11061,Hunter x Hunter (2011),Shounen,TV,148,9.13,425855,33
11061,Hunter x Hunter (2011),Super Power,TV,148,9.13,425855,38
820,Ginga Eiyuu Densetsu,Drama,OVA,110,9.11,80679,7
820,Ginga Eiyuu Densetsu,Military,OVA,110,9.11,80679,20
820,Ginga Eiyuu Densetsu,Sci-Fi,OVA,110,9.11,80679,29
820,Ginga Eiyuu Densetsu,Space,OVA,110,9.11,80679,36
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Action,Movie,1,9.1,72534,1
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Comedy,Movie,1,9.1,72534,4
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Historical,Movie,1,9.1,72534,13
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Parody,Movie,1,9.1,72534,23
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Samurai,Movie,1,9.1,72534,27
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Sci-Fi,Movie,1,9.1,72534,29
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Shounen,Movie,1,9.1,72534,33
15417,Gintama': Enchousen,Action,TV,13,9.11,81109,1
15417,Gintama': Enchousen,Comedy,TV,13,9.11,81109,4
15417,Gintama': Enchousen,Historical,TV,13,9.11,81109,13
15417,Gintama': Enchousen,Parody,TV,13,9.11,81109,23
15417,Gintama': Enchousen,Samurai,TV,13,9.11,81109,27
15417,Gintama': Enchousen,Sci-Fi,TV,13,9.11,81109,29
15417,Gintama': Enchousen,Shounen,TV,13,9.11,81109,33
4181,Clannad: After Story,Drama,TV,24,9.06,456749,7
4181,Clannad: After Story,Fantasy,TV,24,9.06,456749,9
4181,Clannad: After Story,Romance,TV,24,9.06,456749,26
4181,Clannad: After Story,Slice of Life,TV,24,9.06,456749,35
4181,Clannad: After Story,Supernatural,TV,24,9.06,456749,39
28851,Koe no Katachi,Drama,Movie,1,9.05,102733,7
28851,Koe no Katachi,School,Movie,1,9.05,102733,28
28851,Koe no Katachi,Shounen,Movie,1,9.05,102733,33
918,Gintama,Action,TV,201,9.04,336376,1
918,Gintama,Comedy,TV,201,9.04,336376,4
918,Gintama,Historical,TV,201,9.04,336376,13
918,Gintama,Parody,TV,201,9.04,336376,23
918,Gintama,Samurai,TV,201,9.04,336376,27
918,Gintama,Sci-Fi,TV,201,9.04,336376,29
918,Gintama,Shounen,TV,201,9.04,336376,33
2904,Code Geass: Hangyaku no Lelouch R2,Action,TV,25,8.98,572888,1
2904,Code Geass: Hangyaku no Lelouch R2,Drama,TV,25,8.98,572888,7
2904,Code Geass: Hangyaku no Lelouch R2,Mecha,TV,25,8.98,572888,19
2904,Code Geass: Hangyaku no Lelouch R2,Military,TV,25,8.98,572888,20
2904,Code Geass: Hangyaku no Lelouch R2,Sci-Fi,TV,25,8.98,572888,29
2904,Code Geass: Hangyaku no Lelouch R2,Super Power,TV,25,8.98,572888,38
28891,Haikyuu!! Second Season,Comedy,TV,25,8.93,179342,4
28891,Haikyuu!! Second Season,Drama,TV,25,8.93,179342,7
28891,Haikyuu!! Second Season,School,TV,25,8.93,179342,28
28891,Haikyuu!! Second Season,Shounen,TV,25,8.93,179342,33
28891,Haikyuu!! Second Season,Sports,TV,25,8.93,179342,37
199,Sen to Chihiro no Kamikakushi,Adventure,Movie,1,8.93,466254,2
199,Sen to Chihiro no Kamikakushi,Drama,Movie,1,8.93,466254,7
199,Sen to Chihiro no Kamikakushi,Supernatural,Movie,1,8.93,466254,39
